"","ENV","GEN","REP","GY","HM"
"1","E1","G1","1",2.167,44.93
"2","E1","G1","2",2.50304,46.9
"3","E1","G1","3",2.42732,47.75
"4","E1","G2","1",3.2075,45.2
"5","E1","G2","2",2.9329,45.3
"6","E1","G2","3",2.56484,45.49
"7","E1","G3","1",2.7694,46.7
"8","E1","G3","2",3.62096,43.21
"9","E1","G3","3",2.2754,47.75
"10","E1","G4","1",2.3595,47.93
"11","E1","G4","2",3.0242,47.95
"12","E1","G4","3",2.382,49
"13","E1","G5","1",2.28856,49
"14","E1","G5","2",2.1157,51
"15","E1","G5","3",2.16052,49.65
"16","E1","G6","1",2.5223,48.6
"17","E1","G6","2",2.1861,47.75
"18","E1","G6","3",2.194,48.4
"19","E1","G7","1",2.5921,46.9
"20","E1","G7","2",2.82544,47.3
"21","E1","G7","3",2.90364,48.15
"22","E1","G8","1",2.92584,47.55
"23","E1","G8","2",2.88148,47.75
"24","E1","G8","3",2.89076,48.6
"25","E1","G9","1",2.75992,50.3
"26","E1","G9","2",2.21086,46.7
"27","E1","G9","3",2.007,46.05
"28","E1","G10","1",2.17908,47.3
"29","E1","G10","2",1.26688,44.64
"30","E1","G10","3",2.47626,48.8
"31","E2","G1","1",3.04073,40.41
"32","E2","G1","2",3.15697,43.02
"33","E2","G1","3",2.92437,44.29
"34","E2","G2","1",2.78412,41.43
"35","E2","G2","2",3.67695,42.69
"36","E2","G2","3",3.23209,46.25
"37","E2","G3","1",3.39484,40.7
"38","E2","G3","2",3.876,41.81
"39","E2","G3","3",3.554,44.44
"40","E2","G4","1",3.17862,41.29
"41","E2","G4","2",3.36844,43.02
"42","E2","G4","3",3.02318,47
"43","E2","G5","1",3.071,46.05
"44","E2","G5","2",3.41821,46
"45","E2","G5","3",2.9312,48.6
"46","E2","G6","1",3.15453,45.19
"47","E2","G6","2",3.495,45.48
"48","E2","G6","3",3.22399,48.15
"49","E2","G7","1",1.243,46.25
"50","E2","G7","2",2.89791,46.05
"51","E2","G7","3",3.69712,43.38
"52","E2","G8","1",3.211,45.65
"53","E2","G8","2",3.197,47.1
"54","E2","G8","3",3.92639,43.85
"55","E2","G9","1",2.65963,40.71
"56","E2","G9","2",3.20378,39.67
"57","E2","G9","3",3.42118,39.7
"58","E2","G10","1",3.019,45.5
"59","E2","G10","2",3.22442,46.05
"60","E2","G10","3",3.1941,43.88
"61","E3","G1","1",4.11,52
"62","E3","G1","2",3.663,50
"63","E3","G1","3",4.468,50
"64","E3","G2","1",4.614,49
"65","E3","G2","2",4.32,55
"66","E3","G2","3",4.772,50
"67","E3","G3","1",4.511,50
"68","E3","G3","2",3.916,51
"69","E3","G3","3",3.97,52
"70","E3","G4","1",4.349,52
"71","E3","G4","2",3.437,54
"72","E3","G4","3",3.777,54
"73","E3","G5","1",4.179,53
"74","E3","G5","2",4.008,54
"75","E3","G5","3",3.037,55
"76","E3","G6","1",4.057,54
"77","E3","G6","2",3.161,55
"78","E3","G6","3",3.086,52
"79","E3","G7","1",4.58,53
"80","E3","G7","2",3.718,55
"81","E3","G7","3",4.006,53
"82","E3","G8","1",4.347,53
"83","E3","G8","2",4.544,53
"84","E3","G8","3",3.439,49
"85","E3","G9","1",4.407,55
"86","E3","G9","2",4.634,56
"87","E3","G9","3",4.477,51
"88","E3","G10","1",4.002,57
"89","E3","G10","2",3.597,55
"90","E3","G10","3",4.744,55
"91","E4","G1","1",3.543,48
"92","E4","G1","2",3.826,48
"93","E4","G1","3",3.114,47
"94","E4","G2","1",3.64872,45
"95","E4","G2","2",4.049,48
"96","E4","G2","3",3.449,48
"97","E4","G3","1",4.457,50
"98","E4","G3","2",4.166,49
"99","E4","G3","3",3.779,50
"100","E4","G4","1",3.55958,49
"101","E4","G4","2",3.44592,50
"102","E4","G4","3",2.901,51
"103","E4","G5","1",3.47294,52
"104","E4","G5","2",3.1594,53
"105","E4","G5","3",3.505,50
"106","E4","G6","1",2.98082,50
"107","E4","G6","2",3.977,52
"108","E4","G6","3",3.2526,52
"109","E4","G7","1",3.391,48
"110","E4","G7","2",3.081,50
"111","E4","G7","3",2.58486,51
"112","E4","G8","1",3.99466,50
"113","E4","G8","2",4.02666,52
"114","E4","G8","3",4.392,50
"115","E4","G9","1",4.371,50
"116","E4","G9","2",3.24302,50
"117","E4","G9","3",4.075,51
"118","E4","G10","1",4.081,53
"119","E4","G10","2",4.269,52
"120","E4","G10","3",4.463,51
"121","E5","G1","1",4.15759259259259,52.65
"122","E5","G1","2",4.568,50.1
"123","E5","G1","3",3.786,48.4
"124","E5","G2","1",3.9412962962963,50.1
"125","E5","G2","2",3.687,55.85
"126","E5","G2","3",3.854,55.4
"127","E5","G3","1",4.18496296296296,54.55
"128","E5","G3","2",3.768,52
"129","E5","G3","3",4.427,56.05
"130","E5","G4","1",3.79381481481481,48
"131","E5","G4","2",4.088,52
"132","E5","G4","3",3.466,47.75
"133","E5","G5","1",3.493,52.85
"134","E5","G5","2",3.769,53.1
"135","E5","G5","3",3.145,54.35
"136","E5","G6","1",3.52977777777778,51.6
"137","E5","G6","2",3.921,55.2
"138","E5","G6","3",3.256,48.6
"139","E5","G7","1",3.83474074074074,52.85
"140","E5","G7","2",4.25,47.75
"141","E5","G7","3",4.059,48.6
"142","E5","G8","1",4.8102962962963,54.55
"143","E5","G8","2",5.093,52.25
"144","E5","G8","3",4.533,51
"145","E5","G9","1",4.11651851851852,49.9
"146","E5","G9","2",3.778,56.62
"147","E5","G9","3",3.908,49.25
"148","E5","G10","1",3.19,54.55
"149","E5","G10","2",3.688,56.05
"150","E5","G10","3",3.219,55
"151","E6","G1","1",2.782,44.8
"152","E6","G1","2",3.02518518518518,45.45
"153","E6","G1","3",2.62007407407407,42.25
"154","E6","G2","1",2.821,44.35
"155","E6","G2","2",2.444,44.15
"156","E6","G2","3",2.359,47.15
"157","E6","G3","1",3.257,45.2
"158","E6","G3","2",2.95414814814815,47.15
"159","E6","G3","3",2.743,47.75
"160","E6","G4","1",2.691,48
"161","E6","G4","2",2.49707407407407,50.55
"162","E6","G4","3",2.91548148148148,49.25
"163","E6","G5","1",2.661,44.15
"164","E6","G5","2",2.10759259259259,48.4
"165","E6","G5","3",2.53137037037037,47.55
"166","E6","G6","1",2.688,43.95
"167","E6","G6","2",2.28588888888889,46.7
"168","E6","G6","3",2.03277777777778,48.85
"169","E6","G7","1",2.561,42.65
"170","E6","G7","2",2.8307037037037,46.3
"171","E6","G7","3",2.606,46.7
"172","E6","G8","1",2.899,48
"173","E6","G8","2",2.581,49.25
"174","E6","G8","3",3.24437037037037,49
"175","E6","G9","1",3.011,45
"176","E6","G9","2",2.84711111111111,47.5
"177","E6","G9","3",2.446,43
"178","E6","G10","1",2.7,40
"179","E6","G10","2",2.55392592592593,42.25
"180","E6","G10","3",2.2007037037037,41.4
"181","E7","G1","1",1.453,49
"182","E7","G1","2",1.84434,48
"183","E7","G1","3",2.3963,44
"184","E7","G2","1",1.521,47
"185","E7","G2","2",1.98154,50
"186","E7","G2","3",2.46034,46
"187","E7","G3","1",1.762,48
"188","E7","G3","2",2.52306,44
"189","E7","G3","3",2.19058,49
"190","E7","G4","1",1.41282,48
"191","E7","G4","2",2.19178,51
"192","E7","G4","3",2.33806,47.75
"193","E7","G5","1",1.683,47
"194","E7","G5","2",1.378,47
"195","E7","G5","3",1.9093,50
"196","E7","G6","1",1.47036,48
"197","E7","G6","2",1.86272,52
"198","E7","G6","3",1.94028,48.6
"199","E7","G7","1",2.47178,45
"200","E7","G7","2",2.2227,47.75
"201","E7","G7","3",2.95796,48.6
"202","E7","G8","1",2.46546,48
"203","E7","G8","2",2.1237,50
"204","E7","G8","3",2.19618,53
"205","E7","G9","1",1.2684,49.9
"206","E7","G9","2",1.48484,49
"207","E7","G9","3",1.4265,49.25
"208","E7","G10","1",2.469,52
"209","E7","G10","2",2.19908,48
"210","E7","G10","3",2.0628,50
"211","E8","G1","1",1.91193,44
"212","E8","G1","2",2.383,43
"213","E8","G1","3",2.52087,42.25
"214","E8","G2","1",1.95111,42
"215","E8","G2","2",2.04399,44.15
"216","E8","G2","3",2.14079,47.15
"217","E8","G3","1",2.6139,45.2
"218","E8","G3","2",2.8312,43
"219","E8","G3","3",3.10616,47.75
"220","E8","G4","1",1.78111,48
"221","E8","G4","2",2.53966,46
"222","E8","G4","3",2.581,49.25
"223","E8","G5","1",2.24211,46
"224","E8","G5","2",2.80321,44
"225","E8","G5","3",3.07967,47
"226","E8","G6","1",1.96095,43.95
"227","E8","G6","2",2.84429,46
"228","E8","G6","3",2.8129,47
"229","E8","G7","1",2.29361,42.65
"230","E8","G7","2",2.73293,45
"231","E8","G7","3",2.72361,46
"232","E8","G8","1",2.5528,47
"233","E8","G8","2",2.79676,49.25
"234","E8","G8","3",3.287,49
"235","E8","G9","1",2.385,43
"236","E8","G9","2",2.468,47
"237","E8","G9","3",2.60278,45
"238","E8","G10","1",2.46195,40
"239","E8","G10","2",2.85972,42.25
"240","E8","G10","3",2.77926,43
"241","E9","G1","1",3.16,54
"242","E9","G1","2",2.856,51
"243","E9","G1","3",2.335,53
"244","E9","G2","1",3.744,52
"245","E9","G2","2",3.41,49
"246","E9","G2","3",2.936,48
"247","E9","G3","1",3.507,50
"248","E9","G3","2",3.877,48
"249","E9","G3","3",2.497,51
"250","E9","G4","1",3.486,49
"251","E9","G4","2",3.948,51
"252","E9","G4","3",3.74,47
"253","E9","G5","1",2.905,54
"254","E9","G5","2",3.711,53
"255","E9","G5","3",3.283,52
"256","E9","G6","1",3.238,52
"257","E9","G6","2",3.192,50
"258","E9","G6","3",2.689,49
"259","E9","G7","1",3.32,50
"260","E9","G7","2",3.17,49
"261","E9","G7","3",2.93,53
"262","E9","G8","1",3.01,52
"263","E9","G8","2",2.609,50
"264","E9","G8","3",2.865,51
"265","E9","G9","1",2.118,55
"266","E9","G9","2",1.93,52
"267","E9","G9","3",1.782,54
"268","E9","G10","1",2.849,54
"269","E9","G10","2",3.797,55
"270","E9","G10","3",2.804,52
"271","E10","G1","1",2.54986,44
"272","E10","G1","2",2.3511,47
"273","E10","G1","3",2.02194,45
"274","E10","G2","1",2.597,46
"275","E10","G2","2",2.148,48
"276","E10","G2","3",2.14616,45
"277","E10","G3","1",2.55718,42
"278","E10","G3","2",2.4,45
"279","E10","G3","3",2.053,46
"280","E10","G4","1",2.25418,42
"281","E10","G4","2",2.1303,40
"282","E10","G4","3",2.11758,43
"283","E10","G5","1",2.21626,51
"284","E10","G5","2",2.42324,53
"285","E10","G5","3",1.78,49
"286","E10","G6","1",2.2668,45
"287","E10","G6","2",2.53364,47
"288","E10","G6","3",1.824,47
"289","E10","G7","1",2.59596,40
"290","E10","G7","2",2.5526,40
"291","E10","G7","3",2.17712,43
"292","E10","G8","1",2.65194,42
"293","E10","G8","2",2.88836,45
"294","E10","G8","3",2.1843,44
"295","E10","G9","1",1.764,41
"296","E10","G9","2",2.137,44
"297","E10","G9","3",1.326,40
"298","E10","G10","1",1.70046,40
"299","E10","G10","2",1.7373,43
"300","E10","G10","3",1.171,42
"301","E11","G1","1",1.022,54
"302","E11","G1","2",1.657,53
"303","E11","G1","3",1.388,55
"304","E11","G2","1",1.897,52
"305","E11","G2","2",1.129,53
"306","E11","G2","3",1.44616,53
"307","E11","G3","1",1.85718,54
"308","E11","G3","2",1.655,54
"309","E11","G3","3",1.191,52
"310","E11","G4","1",0.984,54
"311","E11","G4","2",1.675,56
"312","E11","G4","3",1.451,52
"313","E11","G5","1",1.218,49.7
"314","E11","G5","2",1.727,53
"315","E11","G5","3",1.032,53
"316","E11","G6","1",1.327,56
"317","E11","G6","2",2.034,56
"318","E11","G6","3",1.141,57
"319","E11","G7","1",1.233,54.55
"320","E11","G7","2",1.858,57
"321","E11","G7","3",1.002,53
"322","E11","G8","1",2.156,57
"323","E11","G8","2",1.41,58
"324","E11","G8","3",1.4843,54
"325","E11","G9","1",1.011,53.7
"326","E11","G9","2",1.437,57
"327","E11","G9","3",0.928,53
"328","E11","G10","1",0.989,55
"329","E11","G10","2",1.0373,51
"330","E11","G10","3",0.671,56
"331","E12","G1","1",1.119,50.75
"332","E12","G1","2",1.591,51
"333","E12","G1","3",1.317,48
"334","E12","G2","1",2.31,45
"335","E12","G2","2",1.879,43
"336","E12","G2","3",1.791,46
"337","E12","G3","1",1.59007407407407,49
"338","E12","G3","2",1.992,50
"339","E12","G3","3",1.711,53
"340","E12","G4","1",1.372,48
"341","E12","G4","2",1.766,48
"342","E12","G4","3",1.444,53
"343","E12","G5","1",1.763,52
"344","E12","G5","2",1.452,48.4
"345","E12","G5","3",1.852,47
"346","E12","G6","1",1.653,50
"347","E12","G6","2",1.391,52.65
"348","E12","G6","3",1.113,51
"349","E12","G7","1",1.75188888888889,50
"350","E12","G7","2",2.219,52.25
"351","E12","G7","3",1.884,49
"352","E12","G8","1",1.91,52
"353","E12","G8","2",2.321,47
"354","E12","G8","3",1.769,53
"355","E12","G9","1",1.171,47
"356","E12","G9","2",1.37,48.4
"357","E12","G9","3",1.687,52
"358","E12","G10","1",0.883407407407408,48.6
"359","E12","G10","2",1.211,52.85
"360","E12","G10","3",0.972,50
"361","E13","G1","1",2.76240740740741,46
"362","E13","G1","2",3.38737037037037,44.35
"363","E13","G1","3",2.845,42.85
"364","E13","G2","1",3.14292592592593,45
"365","E13","G2","2",3.122,40
"366","E13","G2","3",2.82,42
"367","E13","G3","1",3.135,47
"368","E13","G3","2",3.80144444444445,46
"369","E13","G3","3",3.471,45.45
"370","E13","G4","1",2.84488888888889,48
"371","E13","G4","2",2.48125925925926,47.55
"372","E13","G4","3",2.581,44
"373","E13","G5","1",2.666,50
"374","E13","G5","2",2.8532962962963,47.55
"375","E13","G5","3",2.185,45.45
"376","E13","G6","1",2.643,45
"377","E13","G6","2",2.761,46.5
"378","E13","G6","3",3.331,44
"379","E13","G7","1",3.597,48
"380","E13","G7","2",3.11351851851852,49.7
"381","E13","G7","3",2.841,46
"382","E13","G8","1",3.84792592592593,51
"383","E13","G8","2",3.091,49.9
"384","E13","G8","3",3.621,46.7
"385","E13","G9","1",3.19688888888889,49
"386","E13","G9","2",2.998,47.35
"387","E13","G9","3",2.657,45
"388","E13","G10","1",1.666,51
"389","E13","G10","2",2.087,49.45
"390","E13","G10","3",1.739,47
"391","E14","G1","1",1.223,42
"392","E14","G1","2",1.76681481481482,41.15
"393","E14","G1","3",1.61018518518518,39.05
"394","E14","G2","1",1.452,41
"395","E14","G2","2",1.641,39.05
"396","E14","G2","3",1.18674074074074,38
"397","E14","G3","1",2.331,40
"398","E14","G3","2",2.09396296296296,41.6
"399","E14","G3","3",1.754,39.05
"400","E14","G4","1",2.128,42
"401","E14","G4","2",1.85814814814815,42
"402","E14","G4","3",1.59785185185185,39.05
"403","E14","G5","1",2.07,42
"404","E14","G5","2",1.8292962962963,42.65
"405","E14","G5","3",1.45359259259259,39.05
"406","E14","G6","1",2.004,39
"407","E14","G6","2",1.794,40
"408","E14","G6","3",1.59855555555556,40.55
"409","E14","G7","1",1.943,45
"410","E14","G7","2",1.572,42.85
"411","E14","G7","3",2.294,44.35
"412","E14","G8","1",1.768,42
"413","E14","G8","2",2.11459259259259,40
"414","E14","G8","3",2.093,39.9
"415","E14","G9","1",1.876,42
"416","E14","G9","2",1.67244444444444,40.95
"417","E14","G9","3",1.15518518518519,40
"418","E14","G10","1",1.611,43
"419","E14","G10","2",2.06525925925926,43.7
"420","E14","G10","3",1.90137037037037,40
